"region","country","provstate","city","number","nkill","mean_kill","max_kill","min_kill","nwound","mean_wound","max_wound","min_wound"
"Australasia & Oceania","Australia","Australian Capital Territory","Canberra","3","0","0.0000","0","0","2","0.6667","2","0"
"Australasia & Oceania","Australia","Australian Capital Territory","Waitara","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Australia","New South Wales","Coffs Harbour","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Australia","New South Wales","Condell Park","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Australia","New South Wales","Glenreagh","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Australia","New South Wales","Hobbys Yards","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Australia","New South Wales","Lakemba","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Australia","New South Wales","Normahurst","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Australia","New South Wales","Oberon","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Australia","New South Wales","Orange","2","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Australia","New South Wales","Sydney","13","6","0.4615","3","0","14","1.0769","9","0"
"Australasia & Oceania","Australia","Northern Territory","Kakudu National Park","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Australia","Queensland","Brisbane","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Australia","Queensland","Broadbeach","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Australia","Queensland","Logan","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Australia","Queensland","Toowoomba","2","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Australia","South Australia","Adelaide","1","1","1.0000","1","1","5","5.0000","5","5"
"Australasia & Oceania","Australia","South Australia","Gawler","1","1","1.0000","1","1","2","2.0000","2","2"
"Australasia & Oceania","Australia","Tasmania","Hobart","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Australia","Unknown","Unknown","5","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Australia","Victoria","Bannockburn","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Australia","Victoria","Beechworth","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Australia","Victoria","Brighton","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Australia","Victoria","Dandenong","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Australia","Victoria","Fawkner","3","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Australia","Victoria","Geelong","2","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Australia","Victoria","Melbourne","7","1","0.1429","1","0","24","3.4286","21","0"
"Australasia & Oceania","Australia","Victoria","Norlane","2","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Australia","Victoria","St. Kilda East","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Australia","Western Australia","Joondalup","2","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Australia","Western Australia","Perth","7","1","0.1429","1","0","9","1.2857","9","0"
"Australasia & Oceania","Fiji","Ba","Lautoka","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Fiji","Ba","Vatukoula","1","1","1.0000","1","1","0","0.0000","0","0"
"Australasia & Oceania","Fiji","Central","Suva","3","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Fiji","Central Division","Suva","1","7","7.0000","7","7","17","17.0000","17","17"
"Australasia & Oceania","Fiji","Rewa","Suva","2","0","0.0000","0","0","1","0.5000","1","0"
"Australasia & Oceania","French Polynesia","Papeete","Papeete","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","New Caledonia","Loyalty Islands Province","Goosanah","1","2","2.0000","2","2","0","0.0000","0","0"
"Australasia & Oceania","New Caledonia","Nord","Kaala-Gomen","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","New Caledonia","Nord","Kouaoua district","4","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","New Caledonia","North","Kouaoua district","15","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","New Caledonia","Sud","Noumea","6","4","0.6667","4","0","13","2.1667","7","0"
"Australasia & Oceania","New Hebrides","Shefa","Port Vila","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","New Zealand","Auckland","Auckland","2","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","New Zealand","Bay of Plenty","Whakatane","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","New Zealand","Canterbury","Christchurch","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","New Zealand","Wellington","Upper Hutt","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","New Zealand","Wellington","Wellington","4","1","0.2500","1","0","2","0.5000","2","0"
"Australasia & Oceania","Papua New Guinea","Bougainville","Arawa","2","2","1.0000","2","0","2","1.0000","2","0"
"Australasia & Oceania","Papua New Guinea","Bougainville","Buin","2","18","9.0000","17","1","27","13.5000","26","1"
"Australasia & Oceania","Papua New Guinea","Bougainville","Central Bougainville district","1","0","0.0000","0","0","1","1.0000","1","1"
"Australasia & Oceania","Papua New Guinea","Bougainville","Itkara","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Papua New Guinea","Bougainville","Kaparo","1","1","1.0000","1","1","0","0.0000","0","0"
"Australasia & Oceania","Papua New Guinea","Bougainville","Kieta","1","2","2.0000","2","2","0","0.0000","0","0"
"Australasia & Oceania","Papua New Guinea","Bougainville","Kobuan","1","3","3.0000","3","3","0","0.0000","0","0"
"Australasia & Oceania","Papua New Guinea","Bougainville","Panguna","4","0","0.0000","0","0","7","1.7500","6","0"
"Australasia & Oceania","Papua New Guinea","Bougainville","Tohei","1","6","6.0000","6","6","1","1.0000","1","1"
"Australasia & Oceania","Papua New Guinea","Bougainville","Toniva","1","0","0.0000","0","0","2","2.0000","2","2"
"Australasia & Oceania","Papua New Guinea","Bougainville","Unknown","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Papua New Guinea","Central","Kerau","1","2","2.0000","2","2","0","0.0000","0","0"
"Australasia & Oceania","Papua New Guinea","Central","Oroi","1","0","0.0000","0","0","3","3.0000","3","3"
"Australasia & Oceania","Papua New Guinea","Madang","Walium","1","0","0.0000","0","0","3","3.0000","3","3"
"Australasia & Oceania","Papua New Guinea","Morobe","Finschhafen","3","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Papua New Guinea","Morobe","Gagidu","1","0","0.0000","0","0","0","0.0000","0","0"
