"country","region","number","nkill","mean_kill","max_kill","min_kill","nwound","mean_wound","max_wound","min_wound"
"Afghanistan","South Asia","5362","17649","3.2915","330","0","25132","4.6871","491","0"
"Albania","Eastern Europe","51","27","0.5294","6","0","91","1.7843","30","0"
"Algeria","Middle East & North Africa","1360","6184","4.5471","256","0","6376","4.6882","286","0"
"Angola","Sub-Saharan Africa","288","1277","4.4340","259","0","1555","5.3993","319","0"
"Argentina","South America","339","285","0.8407","85","0","621","1.8319","236","0"
"Armenia","Central Asia","16","26","1.6250","14","0","68","4.2500","46","0"
"Australia","Australasia & Oceania","68","10","0.1471","3","0","56","0.8235","21","0"
"Austria","Western Europe","51","20","0.3922","4","0","90","1.7647","38","0"
"Azerbaijan","Central Asia","34","236","6.9412","50","0","124","3.6471","30","0"
"Bahamas","Central America & Caribbean","4","1","0.2500","1","0","0","0.0000","0","0"
"Bahrain","Middle East & North Africa","110","18","0.1636","4","0","68","0.6182","11","0"
"Bangladesh","South Asia","698","527","0.7550","28","0","3775","5.4083","300","0"
"Barbados","Central America & Caribbean","3","76","25.3333","73","0","3","1.0000","3","0"
"Belarus","Eastern Europe","7","14","2.0000","13","0","161","23.0000","161","0"
"Belgium","Western Europe","54","58","1.0741","18","0","368","6.8148","135","0"
"Belize","Central America & Caribbean","4","1","0.2500","1","0","0","0.0000","0","0"
"Benin","Sub-Saharan Africa","4","0","0.0000","0","0","3","0.7500","3","0"
"Bhutan","South Asia","5","9","1.8000","4","0","5","1.0000","2","0"
"Bolivia","South America","116","23","0.1983","5","0","122","1.0517","47","0"
"Bosnia-Herzegovina","Eastern Europe","111","64","0.5766","20","0","103","0.9279","36","0"
"Botswana","Sub-Saharan Africa","3","3","1.0000","3","0","5","1.6667","4","0"
"Brazil","South America","117","65","0.5556","5","0","100","0.8547","28","0"
"Brunei","Southeast Asia","5","0","0.0000","0","0","0","0.0000","0","0"
"Bulgaria","Eastern Europe","30","24","0.8000","7","0","32","1.0667","30","0"
