"lid","country","region","provstate","city"
"1","Afghanistan","South Asia","Badakhshan","Baharak district"
"2","Afghanistan","South Asia","Badakhshan","Darayim district"
"3","Afghanistan","South Asia","Badakhshan","Faizabad"
"4","Afghanistan","South Asia","Badakhshan","Jurm"
"5","Afghanistan","South Asia","Badakhshan","Jurm district"
"6","Afghanistan","South Asia","Badakhshan","Keshem"
"7","Afghanistan","South Asia","Badakhshan","Keshem district"
"8","Afghanistan","South Asia","Badakhshan","Khash district"
"9","Afghanistan","South Asia","Badakhshan","Kishim"
"10","Afghanistan","South Asia","Badakhshan","Kunkad"
"11","Afghanistan","South Asia","Badakhshan","Mulayan"
"12","Afghanistan","South Asia","Badakhshan","Pateer"
"13","Afghanistan","South Asia","Badakhshan","Raghistan district"
"14","Afghanistan","South Asia","Badakhshan","Sheikh Wali"
"15","Afghanistan","South Asia","Badakhshan","Shkashim district"
"16","Afghanistan","South Asia","Badakhshan","Tagab district"
"17","Afghanistan","South Asia","Badakhshan","Tashkan district"
"18","Afghanistan","South Asia","Badakhshan","Tergaran"
"19","Afghanistan","South Asia","Badakhshan","Unknown"
"20","Afghanistan","South Asia","Badakhshan","Warduj district"
"21","Afghanistan","South Asia","Badakhshan","Yamgan district"
"22","Afghanistan","South Asia","Badakhshan","Yawan district"
"23","Afghanistan","South Asia","Badakhshan","Zard Khak"
"24","Afghanistan","South Asia","Badghis","Aab Kamra"
"25","Afghanistan","South Asia","Badghis","Ab Kamari district"
"26","Afghanistan","South Asia","Badghis","Akazai"
"27","Afghanistan","South Asia","Badghis","Baghbanan"
"28","Afghanistan","South Asia","Badghis","Bala Murghab"
"29","Afghanistan","South Asia","Badghis","Darae Bum"
"30","Afghanistan","South Asia","Badghis","Darwish"
"31","Afghanistan","South Asia","Badghis","Dozdak"
"32","Afghanistan","South Asia","Badghis","Fairoza"
"33","Afghanistan","South Asia","Badghis","Firozi"
"34","Afghanistan","South Asia","Badghis","Gulchin"
"35","Afghanistan","South Asia","Badghis","Joi Ganj"
"36","Afghanistan","South Asia","Badghis","Kecha"
"37","Afghanistan","South Asia","Badghis","Khair Khana"
"38","Afghanistan","South Asia","Badghis","Kokchayal"
"39","Afghanistan","South Asia","Badghis","Kotal Sabz"
"40","Afghanistan","South Asia","Badghis","Laman"
"41","Afghanistan","South Asia","Badghis","Langar"
