"gname","number","nkill","mean_kill","max_kill","min_kill","nwound","mean_wound","max_wound","min_wound"
"1-May","4","0","0.0000","0","0","0","0.0000","0","0"
"14 K Triad","3","0","0.0000","0","0","0","0.0000","0","0"
"15-May","1","0","0.0000","0","0","0","0.0000","0","0"
"15th of September Liberation Legion","1","0","0.0000","0","0","1","1.0000","1","1"
"16 January Organization for the Liberation of Tripoli","8","0","0.0000","0","0","12","1.5000","5","0"
"1920 Revolution Brigades","2","15","7.5000","8","7","19","9.5000","19","0"
"19th of July Christian Resistance Brigade","1","1","1.0000","1","1","0","0.0000","0","0"
"20 December Movement (M-20)","9","0","0.0000","0","0","2","0.2222","2","0"
"23rd of September Communist League","9","16","1.7778","9","0","6","0.6667","4","0"
"28 May Armenian Organization","2","5","2.5000","5","0","52","26.0000","42","10"
"28th of December Group","2","0","0.0000","0","0","0","0.0000","0","0"
"2nd of June Movement","2","1","0.5000","1","0","0","0.0000","0","0"
"31 January People's Front (FP-31)","1","0","0.0000","0","0","4","4.0000","4","4"
"313 Brigade (Syria)","3","0","0.0000","0","0","53","17.6667","53","0"
"7 April Libyan Organization","1","0","0.0000","0","0","0","0.0000","0","0"
"9-Feb","10","5","0.5000","3","0","8","0.8000","3","0"
"A Resistance Group","1","0","0.0000","0","0","0","0.0000","0","0"
"A'chik Matgrik Elite Force (AMEF)","2","0","0.0000","0","0","2","1.0000","2","0"
"Aba Cheali Group","1","4","4.0000","4","4","3","3.0000","3","3"
"Abbala extremists","1","3","3.0000","3","3","5","5.0000","5","5"
"Abd al-Krim Commandos","1","0","0.0000","0","0","0","0.0000","0","0"
"Abdullah Azzam Brigades","17","175","10.2941","91","0","570","33.5294","159","0"
"Abida Tribe","2","0","0.0000","0","0","0","0.0000","0","0"
"Abkhazian guerrillas","2","15","7.5000","15","0","0","0.0000","0","0"
"Abkhazian Separatists","3","37","12.3333","29","0","41","13.6667","37","1"
"Abstentionist Brigades","2","0","0.0000","0","0","0","0.0000","0","0"
"Abu Amarah Battalion","2","3","1.5000","2","1","5","2.5000","5","0"
"Abu Jaafar al-Mansur Brigades","1","0","0.0000","0","0","2","2.0000","2","2"
"Abu Nidal Organization (ANO)","24","109","4.5417","60","0","244","10.1667","81","0"
"Abu Sayyaf Group (ASG)","198","367","1.8535","114","0","1003","5.0657","75","0"
"Abu Tira (Central Reserve Forces)","1","2","2.0000","2","2","6","6.0000","6","6"
"Aceh Singkil Islamic Care Youth Students Association (PPI)","3","1","0.3333","1","0","4","1.3333","4","0"
"Achik Matgrik Army (AMA)","1","0","0.0000","0","0","9","9.0000","9","9"
"Achik National Cooperative Army (ANCA)","2","2","1.0000","2","0","7","3.5000","4","3"
"Achik National Volunteer Council (ANVC)","1","5","5.0000","5","5","2","2.0000","2","2"
"Achik National Volunteer Council-B (ANVC-B)","1","2","2.0000","2","2","0","0.0000","0","0"
"Achik Songna An'pachakgipa Kotok (ASAK)","2","0","0.0000","0","0","1","0.5000","1","0"
"Achik Tiger Force","1","0","0.0000","0","0","0","0.0000","0","0"
"Actiefront Nationalistisch Nederland","1","0","0.0000","0","0","0","0.0000","0","0"
"Action Cell Haukur Hilmarsson","1","0","0.0000","0","0","0","0.0000","0","0"
"Action Directe","12","2","0.1667","1","0","35","2.9167","27","0"
"Action Group for the Destruction of the Police State","1","2","2.0000","2","2","0","0.0000","0","0"
"Action Squad","1","0","0.0000","0","0","0","0.0000","0","0"
"Adan Abyan Islamic Army (AAIA)","1","2","2.0000","2","2","12","12.0000","12","12"
"Adan-Abyan Province of the Islamic State","15","295","19.6667","73","0","331","22.0667","90","0"
"Adivasi National Liberation Army (ANLA)","2","5","2.5000","5","0","5","2.5000","5","0"
