"region","country","provstate","number","nkill","mean_kill","max_kill","min_kill","nwound","mean_wound","max_wound","min_wound"
"Australasia & Oceania","Australia","Australian Capital Territory","4","0","0.0000","0","0","2","0.5000","2","0"
"Australasia & Oceania","Australia","New South Wales","22","6","0.2727","3","0","14","0.6364","9","0"
"Australasia & Oceania","Australia","Northern Territory","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Australia","Queensland","5","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Australia","South Australia","2","2","1.0000","1","1","7","3.5000","5","2"
"Australasia & Oceania","Australia","Tasmania","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Australia","Unknown","5","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Australia","Victoria","19","1","0.0526","1","0","24","1.2632","21","0"
"Australasia & Oceania","Australia","Western Australia","9","1","0.1111","1","0","9","1.0000","9","0"
"Australasia & Oceania","Fiji","Ba","2","1","0.5000","1","0","0","0.0000","0","0"
"Australasia & Oceania","Fiji","Central","3","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Fiji","Central Division","1","7","7.0000","7","7","17","17.0000","17","17"
"Australasia & Oceania","Fiji","Rewa","2","0","0.0000","0","0","1","0.5000","1","0"
"Australasia & Oceania","French Polynesia","Papeete","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","New Caledonia","Loyalty Islands Province","1","2","2.0000","2","2","0","0.0000","0","0"
"Australasia & Oceania","New Caledonia","Nord","5","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","New Caledonia","North","15","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","New Caledonia","Sud","6","4","0.6667","4","0","13","2.1667","7","0"
"Australasia & Oceania","New Hebrides","Shefa","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","New Zealand","Auckland","2","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","New Zealand","Bay of Plenty","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","New Zealand","Canterbury","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","New Zealand","Wellington","5","1","0.2000","1","0","2","0.4000","2","0"
"Australasia & Oceania","Papua New Guinea","Bougainville","16","32","2.0000","17","0","40","2.5000","26","0"
"Australasia & Oceania","Papua New Guinea","Central","2","2","1.0000","2","0","3","1.5000","3","0"
"Australasia & Oceania","Papua New Guinea","Madang","1","0","0.0000","0","0","3","3.0000","3","3"
"Australasia & Oceania","Papua New Guinea","Morobe","4","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Papua New Guinea","National Capital District","2","1","0.5000","1","0","0","0.0000","0","0"
"Australasia & Oceania","Papua New Guinea","North Solomons","5","3","0.6000","3","0","7","1.4000","5","0"
"Australasia & Oceania","Papua New Guinea","Papua","1","2","2.0000","2","2","0","0.0000","0","0"
"Australasia & Oceania","Papua New Guinea","Southern Highlands","1","2","2.0000","2","2","6","6.0000","6","6"
"Australasia & Oceania","Papua New Guinea","West Sepik","2","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Papua New Guinea","Western Highlands","1","0","0.0000","0","0","0","0.0000","0","0"
"Australasia & Oceania","Solomon Islands","Guandacanal","1","1","1.0000","1","1","0","0.0000","0","0"
"Australasia & Oceania","Solomon Islands","Malaita","1","1","1.0000","1","1","0","0.0000","0","0"
"Central America & Caribbean","Bahamas","Bimini","1","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","Bahamas","New Providence","3","1","0.3333","1","0","0","0.0000","0","0"
"Central America & Caribbean","Barbados","Christ Church","1","73","73.0000","73","73","0","0.0000","0","0"
"Central America & Caribbean","Barbados","Saint Joseph","1","3","3.0000","3","3","3","3.0000","3","3"
"Central America & Caribbean","Barbados","Saint Michael","1","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","Belize","Belize","2","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","Belize","Cayo","2","1","0.5000","1","0","0","0.0000","0","0"
"Central America & Caribbean","Costa Rica","Alajuela","2","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","Costa Rica","Guanacaste","1","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","Costa Rica","Limon","4","2","0.5000","1","0","10","2.5000","6","0"
"Central America & Caribbean","Costa Rica","Puntarenas","2","2","1.0000","2","0","2","1.0000","1","1"
"Central America & Caribbean","Costa Rica","San Jose","27","5","0.1852","4","0","19","0.7037","5","0"
"Central America & Caribbean","Cuba","Havana","12","0","0.0000","0","0","5","0.4167","3","0"
"Central America & Caribbean","Cuba","Matanzas","1","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","Cuba","Unknown","1","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","Cuba","Villa Clara","1","1","1.0000","1","1","3","3.0000","3","3"
