"targtype","targsubtype","number","nkill","mean_kill","max_kill","min_kill","nwound","mean_wound","max_wound","min_wound"
"Abortion Related","Clinics","189","5","0.0265","2","0","24","0.1270","6","0"
"Abortion Related","Personnel","14","0","0.0000","0","0","9","0.6429","2","0"
"Airports & Aircraft","Aircraft (not at an airport)","146","1811","12.4041","298","0","305","2.0890","75","0"
"Airports & Aircraft","Airline Officer/Personnel","157","14","0.0892","6","0","110","0.7006","15","0"
"Airports & Aircraft","Airport","223","425","1.9058","48","0","2074","9.3004","285","0"
"Business","Bank/Commerce","1644","667","0.4057","90","0","3126","1.9015","1272","0"
"Business","Construction","703","405","0.5761","36","0","616","0.8762","64","0"
"Business","Entertainment/Cultural/Stadium/Casino","488","1118","2.2910","93","0","4914","10.0697","851","0"
"Business","Farm/Ranch","364","553","1.5192","35","0","242","0.6648","22","0"
"Business","Gas/Oil/Electric","498","600","1.2048","69","0","1178","2.3655","101","0"
"Business","Hotel/Resort","597","1834","3.0720","588","0","4345","7.2781","400","0"
"Business","Industrial/Textiles/Factory","592","588","0.9932","110","0","991","1.6740","157","0"
"Business","Legal Services","48","66","1.3750","21","0","24","0.5000","14","0"
"Business","Medical/Pharmaceutical","413","823","1.9927","170","0","1566","3.7918","100","0"
"Business","Mining","267","205","0.7678","24","0","280","1.0487","45","0"
"Business","Multinational Corporation","460","126","0.2739","16","0","332","0.7217","130","0"
"Business","Oil Tanker","1","0","0.0000","0","0","0","0.0000","0","0"
"Business","Private Security Company/Firm","81","202","2.4938","19","0","214","2.6420","32","0"
"Business","Restaurant/Bar/Café","1070","2592","2.4224","101","0","8916","8.3327","150","0"
"Business","Retail/Grocery/Bakery","2025","1886","0.9314","383","0","5715","2.8222","201","0"
"Educational Institution","Other Personnel","172","176","1.0233","40","0","254","1.4767","29","0"
"Educational Institution","School/University/Educational Building","1939","1782","0.9190","344","0","5640","2.9087","727","0"
"Educational Institution","Teacher/Professor/Instructor","273","259","0.9487","15","0","186","0.6813","24","0"
"Food or Water Supply","Food Supply","40","60","1.5000","22","0","42","1.0500","14","0"
"Food or Water Supply","Water Supply","132","70","0.5303","18","0","133","1.0076","26","0"
"Government (Diplomatic)","Diplomatic Personnel (outside of embassy, consulate)","402","295","0.7338","93","0","976","2.4279","491","0"
"Government (Diplomatic)","Embassy/Consulate","777","766","0.9858","224","0","6347","8.1686","4000","0"
"Government (Diplomatic)","International Organization (peacekeeper, aid agency, compound)","458","881","1.9236","108","0","1354","2.9563","100","0"
"Government (General)","Election-related","459","411","0.8954","70","0","834","1.8170","120","0"
"Government (General)","Government Building/Facility/Office","2639","4723","1.7897","518","0","10214","3.8704","650","0"
"Government (General)","Government Personnel (excluding police, military)","3107","4092","1.3170","141","0","6592","2.1217","250","0"
"Government (General)","Head of State","207","782","3.7778","160","0","2554","12.3382","1001","0"
"Government (General)","Intelligence","346","993","2.8699","71","0","2937","8.4884","400","0"
"Government (General)","Judge/Attorney/Court","633","776","1.2259","53","0","1948","3.0774","100","0"
"Government (General)","Medical/Pharmaceutical","2","8","4.0000","4","4","24","12.0000","12","12"
"Government (General)","Politician or Political Party Movement/Meeting/Rally","2897","3034","1.0473","106","0","5445","1.8795","134","0"
"Government (General)","Private Security Company/Firm","1","4","4.0000","4","4","0","0.0000","0","0"
"Government (General)","Royalty","14","1","0.0714","1","0","6","0.4286","3","0"
"Journalists & Media","Newspaper Journalist/Staff/Facility","634","373","0.5883","30","0","643","1.0142","52","0"
"Journalists & Media","Other (including online news agencies)","45","9","0.2000","2","0","20","0.4444","3","0"
"Journalists & Media","Radio Journalist/Staff/Facility","285","86","0.3018","14","0","172","0.6035","30","0"
