"targtype","number","nkill","mean_kill","max_kill","min_kill","nwound","mean_wound","max_wound","min_wound"
"Abortion Related","203","5","0.0246","2","0","33","0.1626","6","0"
"Airports & Aircraft","526","2250","4.2776","298","0","2489","4.7319","285","0"
"Business","9251","11665","1.2609","588","0","32459","3.5087","1272","0"
"Educational Institution","2384","2217","0.9299","344","0","6080","2.5503","727","0"
"Food or Water Supply","172","130","0.7558","22","0","175","1.0174","26","0"
"Government (Diplomatic)","1637","1942","1.1863","224","0","8677","5.3005","4000","0"
"Government (General)","10305","14824","1.4385","518","0","30554","2.9650","1001","0"
"Journalists & Media","1165","596","0.5116","30","0","1106","0.9494","52","0"
"Maritime","138","445","3.2246","86","0","516","3.7391","67","0"
"Military","10254","41220","4.0199","300","0","37548","3.6618","386","0"
"NGO","383","398","1.0392","20","0","587","1.5326","80","0"
"Other","64","160","2.5000","20","0","331","5.1719","45","0"
"Police","11074","24154","2.1811","670","0","37649","3.3998","286","0"
"Private Citizens & Property","17419","58187","3.3404","1180","0","89172","5.1192","1500","0"
"Religious Figures/Institutions","2210","7733","3.4991","311","0","16874","7.6353","400","0"
"Telecommunication","626","105","0.1677","17","0","337","0.5383","114","0"
"Terrorists/Non-State Militia","1122","3096","2.7594","78","0","3810","3.3957","300","0"
"Tourists","211","497","2.3555","91","0","1044","4.9479","110","0"
"Transportation","3758","9066","2.4125","259","0","25937","6.9018","817","0"
"Utilities","4335","702","0.1619","74","0","910","0.2099","100","0"
"Violent Political Party","816","1834","2.2475","200","0","3538","4.3358","300","0"
