"aid","tid","gid","wid","number","nkill","mean_kill","max_kill","min_kill","nwound","mean_wound","max_wound","min_wound"
"1",NULL,"117","10","1","0","0.0000","0","0",NULL,NULL,NULL,NULL
"1",NULL,"2149","21","1","2","2.0000","2","2","0","0.0000","0","0"
"1","1","200","20","3","2","0.6667","1","0","5","1.6667","3","0"
"1","1","200","21","1","0","0.0000","0","0","0","0.0000","0","0"
"1","2","200","20","1","0","0.0000","0","0","2","2.0000","2","2"
"1","3","359","21","1","0","0.0000","0","0","10","10.0000","10","10"
"1","3","441","17","1","1","1.0000","1","1","0","0.0000","0","0"
"1","3","635","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","3","740","21","1","0","0.0000","0","0","0","0.0000","0","0"
"1","3","743","21","1","3","3.0000","3","3","2","2.0000","2","2"
"1","3","809","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","3","868","17","1","0","0.0000","0","0","2","2.0000","2","2"
"1","3","1156","17","1","2","2.0000","2","2","0","0.0000","0","0"
"1","3","1233","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","3","1309","21","1","0","0.0000","0","0","1","1.0000","1","1"
"1","3","1413","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","3","1430","21","1","1","1.0000","1","1","0","0.0000","0","0"
"1","3","1582","17","1","3","3.0000","3","3","14","14.0000","14","14"
"1","3","1714","21","1","0","0.0000","0","0","1","1.0000","1","1"
"1","3","1998","17","1","1","1.0000","1","1","2","2.0000","2","2"
"1","3","2149","17","3","1","0.3333","1","0","8","2.6667","4","2"
"1","3","2149","21","6","1","0.1667","1","0","4","0.6667","2","0"
"1","3","2149","24","1","0","0.0000","0","0","2","2.0000","2","2"
"1","4","117","21","2","4","2.0000","3","1","2","1.0000","2","0"
"1","4","277","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","4","1129","25","1","0","0.0000","0","0","0","0.0000","0","0"
"1","4","1567","21","1","0","0.0000","0","0","0","0.0000","0","0"
"1","4","1975","21","1","6","6.0000","6","6","0","0.0000","0","0"
"1","4","2068","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","4","2149","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","5","106","24","1","1","1.0000","1","1","2","2.0000","2","2"
"1","5","117","21","1","0","0.0000","0","0","0","0.0000","0","0"
"1","5","434","15","1","0","0.0000","0","0","12","12.0000","12","12"
"1","5","674","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","5","810","17","1","2","2.0000","2","2","0","0.0000","0","0"
"1","5","951","21","1","0","0.0000","0","0","0","0.0000","0","0"
"1","5","1174","10","1","6","6.0000","6","6","25","25.0000","25","25"
"1","5","1322","17","1","2","2.0000","2","2","0","0.0000","0","0"
"1","5","1504","17","1","3","3.0000","3","3","14","14.0000","14","14"
