"timeid","iyear","imonth","iday"
"1","1970","1","1"
"2","1970","1","2"
"3","1970","1","3"
"4","1970","1","6"
"5","1970","1","9"
"6","1970","1","12"
"7","1970","1","13"
"8","1970","1","14"
"9","1970","1","15"
"10","1970","1","19"
"11","1970","1","21"
"12","1970","1","25"
"13","1970","1","26"
"14","1970","1","27"
"15","1970","1","28"
"16","1970","1","30"
"17","1970","1","31"
"18","1970","2","1"
"19","1970","2","6"
"20","1970","2","7"
"21","1970","2","8"
"22","1970","2","9"
"23","1970","2","13"
"24","1970","2","15"
"25","1970","2","16"
"26","1970","2","17"
"27","1970","2","20"
"28","1970","2","21"
"29","1970","2","22"
"30","1970","2","23"
"31","1970","2","24"
"32","1970","2","27"
"33","1970","3","0"
"34","1970","3","1"
"35","1970","3","2"
"36","1970","3","3"
"37","1970","3","5"
"38","1970","3","9"
"39","1970","3","10"
"40","1970","3","11"
"41","1970","3","12"
"42","1970","3","13"
"43","1970","3","14"
"44","1970","3","15"
"45","1970","3","16"
"46","1970","3","17"
"47","1970","3","21"
"48","1970","3","22"
"49","1970","3","23"
"50","1970","3","24"
"51","1970","3","27"
"52","1970","3","30"
"53","1970","3","31"
"54","1970","4","1"
"55","1970","4","4"
"56","1970","4","5"
"57","1970","4","8"
"58","1970","4","9"
"59","1970","4","11"
"60","1970","4","13"
"61","1970","4","14"
"62","1970","4","15"
"63","1970","4","16"
"64","1970","4","17"
"65","1970","4","19"
"66","1970","4","20"
"67","1970","4","21"
"68","1970","4","22"
"69","1970","4","23"
"70","1970","4","24"
"71","1970","4","25"
"72","1970","4","26"
"73","1970","4","27"
"74","1970","4","29"
"75","1970","5","0"
"76","1970","5","1"
"77","1970","5","4"
"78","1970","5","5"
"79","1970","5","6"
"80","1970","5","8"
"81","1970","5","9"
"82","1970","5","10"
"83","1970","5","12"
"84","1970","5","13"
"85","1970","5","14"
"86","1970","5","15"
"87","1970","5","19"
"88","1970","5","20"
"89","1970","5","21"
"90","1970","5","22"
"91","1970","5","25"
"92","1970","5","26"
"93","1970","5","27"
"94","1970","5","28"
"95","1970","5","29"
"96","1970","5","30"
"97","1970","6","2"
"98","1970","6","3"
"99","1970","6","4"
"100","1970","6","5"
"101","1970","6","6"
"102","1970","6","7"
"103","1970","6","8"
"104","1970","6","9"
"105","1970","6","11"
"106","1970","6","13"
"107","1970","6","15"
"108","1970","6","17"
"109","1970","6","18"
"110","1970","6","19"
"111","1970","6","23"
"112","1970","6","29"
"113","1970","6","30"
"114","1970","7","0"
"115","1970","7","1"
"116","1970","7","2"
"117","1970","7","3"
"118","1970","7","4"
"119","1970","7","7"
"120","1970","7","8"
"121","1970","7","9"
"122","1970","7","11"
"123","1970","7","12"
"124","1970","7","14"
"125","1970","7","16"
"126","1970","7","17"
"127","1970","7","18"
"128","1970","7","20"
"129","1970","7","21"
"130","1970","7","22"
"131","1970","7","23"
"132","1970","7","26"
"133","1970","7","27"
"134","1970","7","30"
"135","1970","7","31"
"136","1970","8","2"
"137","1970","8","5"
"138","1970","8","7"
"139","1970","8","10"
"140","1970","8","15"
"141","1970","8","17"
"142","1970","8","20"
"143","1970","8","21"
"144","1970","8","22"
"145","1970","8","24"
"146","1970","8","25"
"147","1970","8","28"
"148","1970","8","29"
"149","1970","8","30"
"150","1970","9","1"
"151","1970","9","2"
"152","1970","9","3"
"153","1970","9","4"
"154","1970","9","5"
"155","1970","9","6"
"156","1970","9","9"
"157","1970","9","10"
"158","1970","9","11"
"159","1970","9","20"
"160","1970","9","24"
"161","1970","9","25"
"162","1970","9","26"
"163","1970","10","1"
"164","1970","10","2"
"165","1970","10","5"
"166","1970","10","8"
"167","1970","10","9"
"168","1970","10","10"
"169","1970","10","14"
"170","1970","10","15"
"171","1970","10","18"
"172","1970","10","20"
"173","1970","10","21"
"174","1970","10","24"
"175","1970","10","25"
"176","1970","10","28"
"177","1970","10","30"
"178","1970","11","1"
"179","1970","11","2"
"180","1970","11","7"
"181","1970","11","12"
"182","1970","11","14"
"183","1970","11","18"
"184","1970","11","20"
"185","1970","11","21"
"186","1970","11","23"
"187","1970","11","29"
"188","1970","12","1"
"189","1970","12","11"
"190","1970","12","13"
"191","1970","12","14"
"192","1970","12","15"
"193","1970","12","16"
"194","1970","12","17"
"195","1970","12","18"
"196","1970","12","22"
"197","1970","12","27"
"198","1970","12","29"
"199","1970","12","30"
"200","1970","12","31"
"201","1971","1","1"
"202","1971","1","5"
"203","1971","1","6"
"204","1971","1","7"
"205","1971","1","8"
"206","1971","1","9"
"207","1971","1","11"
"208","1971","1","12"
"209","1971","1","15"
"210","1971","1","19"
"211","1971","1","22"
"212","1971","1","24"
"213","1971","1","26"
"214","1971","1","27"
"215","1971","1","28"
"216","1971","1","29"
"217","1971","2","2"
"218","1971","2","4"
"219","1971","2","8"
"220","1971","2","10"
"221","1971","2","12"
"222","1971","2","13"
"223","1971","2","14"
"224","1971","2","16"
"225","1971","2","19"
"226","1971","2","20"
"227","1971","2","26"
"228","1971","2","27"
"229","1971","3","0"
"230","1971","3","1"
"231","1971","3","5"
"232","1971","3","6"
"233","1971","3","7"
"234","1971","3","11"
"235","1971","3","12"
"236","1971","3","15"
"237","1971","3","16"
"238","1971","3","17"
"239","1971","3","18"
"240","1971","3","19"
"241","1971","3","21"
"242","1971","3","23"
"243","1971","3","25"
"244","1971","3","30"
"245","1971","3","31"
"246","1971","4","2"
"247","1971","4","3"
"248","1971","4","5"
"249","1971","4","6"
"250","1971","4","8"
"251","1971","4","11"
"252","1971","4","12"
"253","1971","4","14"
"254","1971","4","15"
"255","1971","4","19"
"256","1971","4","20"
"257","1971","4","22"
"258","1971","4","23"
"259","1971","4","24"
"260","1971","4","25"
"261","1971","4","26"
"262","1971","4","27"
"263","1971","4","28"
"264","1971","4","29"
"265","1971","4","30"
"266","1971","5","4"
"267","1971","5","5"
"268","1971","5","6"
"269","1971","5","7"
"270","1971","5","8"
"271","1971","5","9"
"272","1971","5","11"
"273","1971","5","12"
"274","1971","5","14"
"275","1971","5","19"
"276","1971","5","23"
"277","1971","5","29"
"278","1971","6","3"
"279","1971","6","5"
"280","1971","6","6"
"281","1971","6","10"
"282","1971","6","11"
"283","1971","6","12"
"284","1971","6","13"
"285","1971","6","17"
"286","1971","6","18"
"287","1971","6","22"
"288","1971","6","24"
"289","1971","7","0"
"290","1971","7","1"
"291","1971","7","4"
"292","1971","7","6"
"293","1971","7","8"
"294","1971","7","9"
"295","1971","7","18"
"296","1971","7","21"
"297","1971","7","24"
"298","1971","7","28"
"299","1971","7","30"
"300","1971","8","15"
"301","1971","8","22"
"302","1971","8","23"
"303","1971","8","24"
"304","1971","8","28"
"305","1971","8","29"
"306","1971","8","30"
"307","1971","9","2"
"308","1971","9","7"
"309","1971","9","9"
"310","1971","9","16"
"311","1971","9","17"
"312","1971","9","24"
"313","1971","10","3"
"314","1971","10","6"
"315","1971","10","7"
"316","1971","10","11"
"317","1971","10","18"
"318","1971","10","20"
"319","1971","11","2"
"320","1971","11","12"
"321","1971","11","17"
"322","1971","11","18"
"323","1971","11","23"
"324","1971","11","30"
"325","1971","12","6"
"326","1971","12","7"
"327","1971","12","15"
"328","1971","12","20"
"329","1972","5","25"
"330","1972","0","0"
"331","1972","1","0"
"332","1972","1","5"
"333","1972","1","16"
"334","1972","1","17"
"335","1972","1","22"
"336","1972","1","26"
"337","1972","1","27"
"338","1972","2","1"
"339","1972","2","2"
"340","1972","2","6"
"341","1972","2","8"
"342","1972","2","19"
"343","1972","2","22"
"344","1972","2","28"
"345","1972","3","0"
"346","1972","3","2"
"347","1972","3","4"
"348","1972","3","6"
"349","1972","3","11"
"350","1972","3","16"
"351","1972","3","27"
"352","1972","3","28"
"353","1972","3","29"
"354","1972","4","5"
"355","1972","4","18"
"356","1972","5","2"
"357","1972","3","15"
"358","1972","5","9"
"359","1972","5","12"
"360","1972","5","15"
"361","1972","5","18"
"362","1972","5","19"
"363","1972","5","20"
"364","1972","5","27"
"365","1972","5","30"
"366","1972","6","10"
"367","1972","6","14"
"368","1972","6","15"
"369","1972","6","21"
"370","1972","7","14"
"371","1972","8","5"
"372","1972","8","16"
"373","1972","8","17"
"374","1972","8","18"
"375","1972","8","23"
"376","1972","9","27"
"377","1972","9","14"
"378","1972","9","19"
"379","1972","9","20"
"380","1972","9","21"
"381","1972","9","22"
"382","1972","9","23"
"383","1972","9","25"
"384","1972","9","28"
"385","1972","9","29"
"386","1972","10","4"
"387","1972","10","6"
"388","1972","10","10"
"389","1972","10","13"
"390","1972","10","16"
"391","1972","10","25"
"392","1972","10","26"
"393","1972","11","2"
"394","1972","11","15"
"395","1972","11","23"
"396","1972","12","15"
"397","1972","12","6"
"398","1972","12","11"
"399","1972","12","12"
"400","1972","12","20"
"401","1972","12","24"
"402","1972","12","25"
"403","1972","12","28"
"404","1972","12","31"
"405","1973","1","2"
"406","1973","1","7"
"407","1973","1","16"
"408","1973","1","18"
"409","1973","1","24"
"410","1973","1","25"
"411","1973","1","26"
"412","1973","1","27"
"413","1973","2","9"
"414","1973","2","15"
"415","1973","2","27"
"416","1973","3","2"
"417","1973","3","4"
"418","1973","3","6"
"419","1973","3","12"
"420","1973","3","22"
"421","1973","3","26"
"422","1973","3","27"
"423","1973","3","28"
"424","1973","4","5"
"425","1973","4","9"
"426","1973","4","12"
"427","1973","4","14"
"428","1973","4","16"
"429","1973","4","30"
"430","1973","5","1"
"431","1973","5","4"
"432","1973","5","5"
"433","1973","5","7"
"434","1973","5","8"
"435","1973","5","13"
"436","1973","5","18"
"437","1973","5","19"
"438","1973","5","23"
"439","1973","6","2"
"440","1973","6","5"
"441","1973","6","9"
"442","1973","6","28"
"443","1973","7","1"
"444","1973","7","4"
"445","1973","7","6"
"446","1973","7","8"
"447","1973","7","18"
"448","1973","7","22"
"449","1973","7","25"
"450","1973","8","4"
"451","1973","8","5"
"452","1973","8","20"
"453","1973","8","27"
"454","1973","8","28"
"455","1973","9","4"
"456","1973","9","5"
"457","1973","9","6"
"458","1973","9","7"
"459","1973","9","10"
"460","1973","9","11"
"461","1973","9","17"
"462","1973","9","18"
"463","1973","9","24"
"464","1973","9","26"
"465","1973","9","28"
"466","1973","10","1"
"467","1973","10","7"
"468","1973","10","8"
"469","1973","10","9"
"470","1973","10","14"
"471","1973","10","18"
"472","1973","10","22"
"473","1973","10","29"
"474","1973","11","4"
"475","1973","11","6"
"476","1973","11","17"
"477","1973","11","18"
"478","1973","11","19"
"479","1973","11","21"
"480","1973","11","22"
"481","1973","11","25"
"482","1973","11","26"
"483","1973","12","4"
"484","1973","12","11"
"485","1973","12","15"
"486","1973","12","17"
"487","1973","12","20"
"488","1973","12","21"
"489","1973","12","22"
"490","1973","12","23"
"491","1973","12","26"
"492","1973","12","30"
"493","1973","12","31"
"494","1974","0","0"
"495","1974","1","5"
"496","1974","1","9"
"497","1974","1","11"
"498","1974","1","14"
"499","1974","1","19"
"500","1974","1","21"
"501","1974","1","24"
"502","1974","1","28"
"503","1974","1","29"
"504","1974","1","31"
"505","1974","2","1"
"506","1974","2","3"
"507","1974","2","4"
"508","1974","2","6"
"509","1974","2","9"
"510","1974","2","12"
"511","1974","2","14"
"512","1974","2","24"
"513","1974","3","0"
"514","1974","3","3"
"515","1974","3","4"
"516","1974","3","7"
"517","1974","3","12"
"518","1974","3","17"
"519","1974","3","21"
"520","1974","3","22"
"521","1974","3","24"
"522","1974","3","26"
"523","1974","4","0"
"524","1974","4","8"
"525","1974","4","14"
"526","1974","4","15"
"527","1974","4","17"
"528","1974","4","21"
"529","1974","4","22"
"530","1974","4","24"
"531","1974","4","30"
"532","1974","5","3"
"533","1974","5","4"
"534","1974","5","8"
"535","1974","5","9"
"536","1974","5","14"
"537","1974","5","16"
"538","1974","5","18"
"539","1974","5","19"
"540","1974","5","28"
"541","1974","5","29"
"542","1974","5","31"
"543","1974","6","1"
"544","1974","6","2"
"545","1974","6","5"
"546","1974","6","11"
"547","1974","6","12"
"548","1974","6","13"
"549","1974","6","14"
"550","1974","6","16"
"551","1974","6","17"
"552","1974","6","18"
"553","1974","6","19"
"554","1974","6","24"
"555","1974","7","3"
"556","1974","7","14"
"557","1974","7","16"
"558","1974","7","17"
"559","1974","7","21"
"560","1974","7","23"
"561","1974","7","25"
"562","1974","8","3"
"563","1974","8","5"
"564","1974","8","6"
"565","1974","8","8"
"566","1974","8","14"
"567","1974","8","25"
"568","1974","8","28"
"569","1974","9","2"
"570","1974","9","3"
"571","1974","9","8"
"572","1974","9","10"
"573","1974","9","13"
"574","1974","9","14"
"575","1974","9","16"
"576","1974","9","17"
"577","1974","9","19"
"578","1974","9","27"
"579","1974","9","28"
"580","1974","10","1"
"581","1974","10","2"
"582","1974","10","5"
"583","1974","10","8"
"584","1974","10","9"
"585","1974","10","10"
"586","1974","10","11"
"587","1974","10","22"
"588","1974","10","28"
"589","1974","10","29"
"590","1974","11","7"
"591","1974","11","9"
"592","1974","11","16"
"593","1974","11","18"
"594","1974","11","21"
"595","1974","11","22"
"596","1974","11","25"
"597","1974","11","30"
"598","1974","12","1"
"599","1974","12","2"
"600","1974","12","8"
"601","1974","12","9"
"602","1974","12","11"
"603","1974","12","15"
"604","1974","12","16"
"605","1974","12","18"
"606","1974","12","19"
"607","1974","12","21"
"608","1974","12","27"
"609","1974","12","28"
"610","1974","12","31"
"611","1975","1","0"
"612","1975","1","3"
"613","1975","1","5"
"614","1975","1","11"
"615","1975","1","15"
"616","1975","1","2"
"617","1975","1","24"
"618","1975","1","28"
"619","1975","1","29"
"620","1975","1","30"
"621","1975","2","0"
"622","1975","2","3"
"623","1975","2","7"
"624","1975","2","8"
"625","1975","2","11"
"626","1975","2","12"
"627","1975","2","18"
"628","1975","2","20"
"629","1975","2","21"
"630","1975","2","25"
"631","1975","2","26"
"632","1975","3","1"
"633","1975","3","2"
"634","1975","3","4"
"635","1975","3","6"
"636","1975","3","10"
"637","1975","3","13"
"638","1975","3","20"
"639","1975","3","27"
"640","1975","4","2"
"641","1975","4","3"
"642","1975","4","4"
"643","1975","4","5"
"644","1975","4","10"
"645","1975","4","11"
"646","1975","4","13"
"647","1975","4","18"
"648","1975","4","19"
"649","1975","4","21"
"650","1975","4","24"
"651","1975","4","25"
"652","1975","4","28"
"653","1975","5","0"
"654","1975","5","1"
"655","1975","5","2"
"656","1975","5","3"
"657","1975","5","7"
"658","1975","5","9"
"659","1975","5","10"
"660","1975","5","15"
"661","1975","5","16"
"662","1975","5","19"
"663","1975","5","21"
"664","1975","5","22"
"665","1975","5","23"
"666","1975","5","26"
"667","1975","5","31"
"668","1975","6","0"
"669","1975","6","3"
"670","1975","6","5"
"671","1975","6","6"
"672","1975","6","8"
"673","1975","6","13"
"674","1975","6","14"
"675","1975","6","15"
"676","1975","6","16"
"677","1975","6","27"
"678","1975","7","2"
"679","1975","7","3"
"680","1975","7","5"
"681","1975","7","14"
"682","1975","7","15"
"683","1975","7","18"
"684","1975","7","21"
"685","1975","7","26"
"686","1975","7","27"
"687","1975","7","30"
"688","1975","7","31"
"689","1975","8","0"
"690","1975","8","4"
"691","1975","8","5"
"692","1975","8","6"
"693","1975","8","8"
"694","1975","8","10"
"695","1975","8","16"
"696","1975","8","17"
"697","1975","8","18"
"698","1975","8","20"
"699","1975","8","25"
"700","1975","9","5"
"701","1975","9","8"
"702","1975","9","9"
"703","1975","9","11"
"704","1975","9","12"
"705","1975","9","13"
"706","1975","9","14"
"707","1975","9","15"
"708","1975","9","16"
"709","1975","9","18"
"710","1975","9","22"
"711","1975","9","23"
"712","1975","9","25"
"713","1975","9","27"
"714","1975","9","29"
"715","1975","10","0"
"716","1975","10","4"
"717","1975","10","5"
"718","1975","10","6"
"719","1975","10","8"
"720","1975","10","9"
"721","1975","10","10"
"722","1975","10","12"
"723","1975","10","13"
"724","1975","10","14"
"725","1975","10","20"
"726","1975","10","23"
"727","1975","10","24"
"728","1975","10","27"
"729","1975","10","29"
"730","1975","10","31"
"731","1975","11","0"
"732","1975","11","1"
"733","1975","11","2"
"734","1975","11","3"
"735","1975","11","9"
"736","1975","11","13"
"737","1975","11","18"
"738","1975","11","21"
"739","1975","11","26"
"740","1975","11","27"
"741","1975","11","28"
"742","1975","11","29"
"743","1975","12","2"
"744","1975","12","3"
"745","1975","12","4"
"746","1975","12","8"
"747","1975","12","9"
"748","1975","12","10"
"749","1975","12","15"
"750","1975","12","18"
"751","1975","12","21"
"752","1975","12","23"
"753","1975","12","24"
"754","1975","12","28"
"755","1975","12","29"
"756","1975","12","30"
"757","1975","12","31"
"758","1976","1","0"
"759","1976","1","2"
"760","1976","1","3"
"761","1976","1","5"
"762","1976","1","9"
"763","1976","1","10"
"764","1976","1","11"
"765","1976","1","12"
"766","1976","1","13"
"767","1976","1","14"
"768","1976","1","15"
"769","1976","1","23"
"770","1976","1","25"
"771","1976","1","28"
"772","1976","1","29"
"773","1976","1","30"
"774","1976","1","31"
"775","1976","2","0"
"776","1976","2","1"
"777","1976","2","5"
"778","1976","2","7"
"779","1976","2","12"
"780","1976","2","16"
"781","1976","2","17"
"782","1976","2","20"
"783","1976","2","21"
"784","1976","2","27"
"785","1976","3","1"
"786","1976","3","2"
"787","1976","3","5"
"788","1976","3","7"
"789","1976","3","8"
"790","1976","3","9"
"791","1976","3","11"
"792","1976","3","14"
"793","1976","3","22"
"794","1976","3","27"
"795","1976","3","29"
"796","1976","4","3"
"797","1976","4","5"
"798","1976","4","10"
"799","1976","4","11"
"800","1976","4","15"
"801","1976","4","17"
"802","1976","4","20"
"803","1976","4","22"
"804","1976","4","23"
"805","1976","4","26"
"806","1976","4","27"
"807","1976","4","29"
"808","1976","5","1"
"809","1976","5","2"
"810","1976","5","5"
"811","1976","5","6"
"812","1976","5","8"
"813","1976","5","9"
"814","1976","5","10"
"815","1976","5","12"
"816","1976","5","14"
"817","1976","5","15"
"818","1976","5","16"
"819","1976","5","17"
"820","1976","5","19"
"821","1976","5","24"
"822","1976","5","25"
"823","1976","5","26"
"824","1976","5","27"
"825","1976","6","1"
"826","1976","6","2"
"827","1976","6","7"
"828","1976","6","10"
"829","1976","6","17"
"830","1976","6","23"
"831","1976","6","24"
"832","1976","6","25"
"833","1976","6","28"
"834","1976","7","1"
"835","1976","7","2"
